Date,Approve,Disapprove,No Opinion
2015 Dec 28-2016 Jan 3,45,52,4
2015 Dec 21-27,48,49,3
2015 Dec 14-20,45,51,5
2015 Dec 7-13,45,50,5
2015 Nov 30-Dec 6,47,49,4
2015 Nov 23-29,46,49,5
2015 Nov 16-22,44,52,4
2015 Nov 9-15,49,47,4
2015 Nov 2-8,49,48,3
2015 Oct 26-Nov 1,47,49,4
2015 Oct 19-25,46,50,4
2015 Oct 12-18,46,50,4
2015 Oct 5-11,46,50,5
2015 Sep 28-Oct 4,47,49,5
2015 Sep 21-27,48,49,3
2015 Sep 14-20,46,51,4
2015 Sep 7-13,46,49,5
2015 Aug 31-Sep 6,46,50,4
2015 Aug 24-30,46,50,4
2015 Aug 17-23,44,51,5
2015 Aug 10-16,46,49,5
2015 Aug 3-9,46,50,4
2015 Jul 27-Aug 2,46,49,5
2015 Jul 20-26,46,50,5
2015 Jul 13-19,46,48,6
2015 Jul 6-12,46,49,5
2015 Jun 29-Jul 5,46,49,5
2015 Jun 22-28,47,49,5
2015 Jun 15-21,45,50,6
2015 Jun 8-14,45,49,5
2015 Jun 1-7,46,49,5
2015 May 25-31,47,49,5
2015 May 18-24,46,49,5
2015 May 11-17,47,49,5
2015 May 4-10,47,48,5
2015 Apr 27-May 3,48,48,4
2015 Apr 20-26,45,49,6
2015 Apr 13-19,46,50,4
2015 Apr 6-12,48,48,4
2015 Mar 30-Apr 5,47,48,5
2015 Mar 23-29,46,49,5
2015 Mar 16-22,45,50,5
2015 Mar 9-15,47,48,5
2015 Mar 2-8,46,49,5
2015 Feb 23-Mar 1,45,50,5
2015 Feb 16-22,46,49,5
2015 Feb 9-15,47,48,5
2015 Feb 2-8,46,49,5
2015 Jan 26-Feb 1,47,48,5
2015 Jan 19-25,49,47,5
2015 Jan 12-18,46,49,5
2015 Jan 5-11,46,48,7
2014 Dec 29-2015 Jan 4,46,48,5
2014 Dec 22-28,44,50,6
2014 Dec 15-21,45,51,5
2014 Dec 8-14,43,52,5
2014 Dec 1-7,43,52,5
2014 Nov 24-30,43,52,5
2014 Nov 17-23,42,53,5
2014 Nov 10-16,42,52,6
2014 Nov 3-9,40,54,5
2014 Oct 27-Nov 2,42,53,5
2014 Oct 20-26,42,53,5
2014 Oct 13-19,41,54,6
2014 Oct 6-12,41,55,5
2014 Sep 29-Oct 5,43,53,5
2014 Sep 22-28,42,52,6
2014 Sep 15-21,43,52,5
2014 Sep 8-14,41,54,5
2014 Sep 1-7,40,53,7
2014 Aug 25-31,41,53,7
2014 Aug 18-24,43,51,7
2014 Aug 11-17,41,53,6
2014 Aug 4-10,42,52,6
2014 Jul 28-Aug 3,42,54,5
2014 Jul 21-27,41,53,7
2014 Jul 14-20,43,51,6
2014 Jul 7-13,42,53,5
2014 Jun 30-Jul 6,43,52,5
2014 Jun 23-29,42,52,6
2014 Jun 16-22,41,55,5
2014 Jun 9-15,42,52,6
2014 Jun 2-8,44,50,6
2014 May 26-Jun 1,44,51,5
2014 May 19-25,43,52,5
2014 May 12-18,44,51,5
2014 May 5-11,45,50,5
2014 Apr 28-May 4,44,50,6
2014 Apr 21-27,44,50,5
2014 Apr 14-20,44,50,6
2014 Apr 7-13,43,51,6
2014 Mar 31-Apr 6,44,51,5
2014 Mar 24-30,43,52,5
2014 Mar 17-23,44,51,5
2014 Mar 10-16,40,54,5
2014 Mar 3-9,43,53,4
2014 Feb 24-Mar 2,42,54,4
2014 Feb 17-23,45,51,5
2014 Feb 10-16,40,53,8
2014 Feb 3-9,41,51,8
2014 Jan 27-Feb 2,42,50,8
2014 Jan 20-26,42,50,9
2014 Jan 13-19,40,52,9
2014 Jan 6-12,41,51,8
2014 Jan 1-5,41,53,6
2013 Dec 23-29,43,51,7
2013 Dec 16-22,40,52,8
2013 Dec 9-15,42,50,9
2013 Dec 2-8,41,51,9
2013 Nov 25-Dec 1,42,52,7
2013 Nov 18-24,40,53,7
2013 Nov 11-17,41,52,7
2013 Nov 4-10,41,52,7
2013 Oct 28-Nov 3,41,52,8
2013 Oct 21-27,43,50,7
2013 Oct 14-20,43,51,7
2013 Oct 7-13,42,52,6
2013 Sep 30-Oct 6,44,50,7
2013 Sep 23-29,45,48,7
2013 Sep 16-22,44,47,8
2013 Sep 9-15,45,46,9
2013 Sep 2-8,44,48,8
2013 Aug 26-Sep 1,44,48,8
2013 Aug 19-25,46,46,8
2013 Aug 12-18,46,45,8
2013 Aug 5-11,44,48,8
2013 Jul 29-Aug 4,45,48,8
2013 Jul 22-28,46,47,8
2013 Jul 15-21,47,46,7
2013 Jul 8-14,46,47,8
2013 Jul 1-7,46,46,8
2013 Jun 24-30,47,45,8
2013 Jun 17-23,46,46,8
2013 Jun 10-16,47,46,8
2013 Jun 3-9,48,45,8
2013 May 27-Jun 2,48,44,8
2013 May 20-26,49,44,8
2013 May 13-19,49,44,6
2013 May 6-12,49,44,7
2013 Apr 29-May 5,50,44,6
2013 Apr 22-28,51,42,7
2013 Apr 15-21,50,43,7
2013 Apr 8-14,49,45,6
2013 Apr 1-7,48,45,7
2013 Mar 25-31,48,45,7
2013 Mar 18-24,47,45,8
2013 Mar 11-17,48,46,6
2013 Mar 4-10,49,44,7
2013 Feb 25-Mar 3,49,44,7
2013 Feb 18-24,51,42,7
2013 Feb 11-17,51,43,6
2013 Feb 4-10,52,42,6
2013 Jan 28-Feb 3,53,42,6
2013 Jan 21-27,52,43,5
2013 Jan 14-20,50,43,7
2013 Jan 7-13,54,41,6
2013 Jan 1-6,53,40,7
2012 Dec 24-30,53,41,6
2012 Dec 17-23,57,37,7
2012 Dec 10-16,52,40,8
2012 Dec 3-9,50,44,6
2012 Nov 26-Dec 2,51,42,6
2012 Nov 19-25,52,40,8
2012 Nov 12-18,53,41,6
2012 Nov 5-11,51,43,6
2012 Oct 29-Nov 4,52,45,3
2012 Oct 22-28,50,45,5
2012 Oct 15-21,50,45,5
2012 Oct 8-14,50,45,6
2012 Oct 1-7,52,43,5
2012 Sep 24-30,48,45,6
2012 Sep 17-23,49,45,6
2012 Sep 10-16,50,44,7
2012 Sep 3-9,50,44,6
2012 Aug 27-Sep 2,44,47,8
2012 Aug 20-26,46,47,7
2012 Aug 13-19,45,49,6
2012 Aug 6-12,45,49,7
2012 Jul 30-Aug 5,45,48,7
2012 Jul 23-29,47,47,7
2012 Jul 16-22,45,48,7
2012 Jul 9-15,46,47,8
2012 Jul 2-8,45,46,9
2012 Jun 25-Jul 1,47,46,7
2012 Jun 18-24,46,48,6
2012 Jun 11-17,46,48,7
2012 Jun 4-10,47,46,7
2012 May 28-Jun 3,46,46,8
2012 May 21-27,48,46,6
2012 May 14-20,47,46,7
2012 May 7-13,47,47,7
2012 Apr 30-May 6,48,46,6
2012 Apr 23-29,48,46,6
2012 Apr 16-22,48,46,7
2012 Apr 9-15,47,46,7
2012 Apr 2-8,47,46,8
2012 Mar 26-Apr 1,46,45,9
2012 Mar 19-25,46,45,8
2012 Mar 12-18,46,47,7
2012 Mar 5-11,48,44,8
2012 Feb 27-Mar 4,45,48,6
2012 Feb 20-26,45,47,8
2012 Feb 13-19,45,47,8
2012 Feb 6-12,47,47,6
2012 Jan 30-Feb 5,46,47,8
2012 Jan 23-29,45,48,8
2012 Jan 16-22,45,46,9
2012 Jan 9-15,45,47,8
2012 Jan 2-8,46,47,8
2011 Dec 26-2012 Jan 1,42,49,9
2011 Dec 19-25,45,47,8
2011 Dec 12-18,42,50,8
2011 Dec 5-11,43,50,7
2011 Nov 28-Dec 4,42,50,8
2011 Nov 21-27,43,49,8
2011 Nov 14-20,43,49,9
2011 Nov 7-13,43,48,9
2011 Oct 31-Nov 6,43,50,8
2011 Oct 24-30,43,49,8
2011 Oct 17-23,41,51,8
2011 Oct 10-16,41,52,8
2011 Oct 3-9,40,53,8
2011 Sep 26-Oct 2,41,50,9
2011 Sep 19-25,41,51,8
2011 Sep 12-18,40,52,8
2011 Sep 5-11,43,49,8
2011 Aug 29-Sept 4,42,51,8
2011 Aug 22-28,40,53,8
2011 Aug 15-21,40,53,7
2011 Aug 8-14,40,52,8
2011 Aug 1-7,42,50,8
2011 Jul 25-31,42,49,8
2011 Jul 18-24,43,48,8
2011 Jul 11-17,44,48,8
2011 Jul 4-10,46,45,9
2011 Jun 27-Jul 3,46,47,8
2011 Jun 20-26,43,49,7
2011 Jun 13-19,47,45,8
2011 Jun 6-12,46,44,9
2011 May 30-Jun 5,50,42,8
2011 May 23-29,49,43,8
2011 May 16-22,50,43,8
2011 May 9-15,49,43,8
2011 May 2-8,51,40,9
2011 Apr 25-May 1,44,47,9
2011 Apr 18-24,43,48,9
2011 Apr 11-17,43,48,9
2011 Apr 4-10,45,46,9
2011 Mar 28-Apr 3,48,44,8
2011 Mar 21-27,45,47,8
2011 Mar 14-20,48,44,9
2011 Mar 7-13,47,45,9
2011 Feb 28-Mar 6,46,46,8
2011 Feb 21-27,48,44,8
2011 Feb 14-20,48,43,9
2011 Feb 7-13,48,43,8
2011 Jan 31-Feb 6,47,45,8
2011 Jan 24-30,50,42,9
2011 Jan 17-23,50,42,8
2011 Jan 10-16,49,42,9
2011 Jan 3-9,48,45,7
2010 Dec 27-2011 Jan 2,48,44,8
2010 Dec 20-26,47,46,7
2010 Dec 13-19,46,46,9
2010 Dec 6-12,45,48,7
2010 Nov 29-Dec 5,46,46,9
2010 Nov 22-28,45,47,9
2010 Nov 15-21,46,46,7
2010 Nov 8-14,44,48,8
2010 Nov 1-7,45,47,8
2010 Oct 25-31,45,48,7
2010 Oct 18-24,44,48,8
2010 Oct 11-17,45,47,9
2010 Oct 4-10,46,48,7
2010 Sep 27-Oct 3,46,47,7
2010 Sep 20-26,44,48,8
2010 Sep 13-19,46,47,7
2010 Sep 6-12,46,46,8
2010 Aug 30-Sep 5,45,47,8
2010 Aug 23-29,43,49,8
2010 Aug 16-22,43,50,7
2010 Aug 9-15,44,48,8
2010 Aug 2-8,45,48,7
2010 Jul 26-Aug 1,45,47,8
2010 Jul 19-25,45,47,8
2010 Jul 12-18,46,46,8
2010 Jul 5-11,46,47,7
2010 Jun 28-Jul 4,46,45,9
2010 Jun 21-27,45,46,9
2010 Jun 14-20,47,45,8
2010 Jun 7-13,46,46,8
2010 May 31-Jun 6,47,45,8
2010 May 24-30,46,46,8
2010 May 17-23,48,45,8
2010 May 10-16,49,43,7
2010 May 3-9,50,43,8
2010 Apr 26-May 2,48,45,7
2010 Apr 19-25,50,43,7
2010 Apr 12-18,48,45,7
2010 Apr 5-11,47,46,6
2010 Mar 29-Apr 4,49,44,7
2010 Mar 22-28,49,44,7
2010 Mar 15-21,48,45,7
2010 Mar 8-14,48,45,8
2010 Mar 1-7,49,44,7
2010 Feb 22-28,50,43,7
2010 Feb 15-21,49,43,8
2010 Feb 8-14,51,42,7
2010 Feb 1-7,50,43,8
2010 Jan 25-31,48,45,7
2010 Jan 18-24,49,46,6
2010 Jan 11-17,50,43,7
2010 Jan 4-10,51,43,7
2009 Dec 28-2010 Jan 3,51,43,7
2009 Dec 21-27,51,43,7
2009 Dec 14-20,50,43,7
2009 Dec 7-13,49,42,8
2009 Nov 30-Dec 6,50,44,7
2009 Nov 23-29,50,42,8
2009 Nov 16-22,49,44,7
2009 Nov 9-15,53,39,8
2009 Nov 2-8,52,42,6
2009 Oct 26-Nov 1,53,41,7
2009 Oct 19-25,53,39,8
2009 Oct 12-18,52,41,7
2009 Oct 5-11,54,38,8
2009 Sep 28-Oct 4,52,40,8
2009 Sep 21-27,51,41,7
2009 Sep 14-20,52,41,7
2009 Sep 7-13,52,41,7
2009 Aug 31-Sep 6,53,40,7
2009 Aug 24-30,50,43,7
2009 Aug 17-23,52,41,7
2009 Aug 10-16,54,40,7
2009 Aug 3-9,56,37,7
2009 Jul 27-Aug 2,54,39,7
2009 Jul 20-26,56,38,7
2009 Jul 13-19,59,33,7
2009 Jul 6-12,58,34,7
2009 Jun 29-Jul 5,60,32,8
2009 Jun 22-28,60,33,7
2009 Jun 15-21,59,34,7
2009 Jun 8-14,61,31,8
2009 Jun 1-7,62,31,7
2009 May 25-31,63,30,7
2009 May 18-24,64,28,8
2009 May 11-17,64,29,8
2009 May 4-10,66,27,7
